name,description
Fever,A temporary increase in average body temperature.
Cough,"A sudden, forceful hacking sound to release air and clear an irritation in the throat or airway."
Sore throat,Pain or irritation in the throat that can occur with or without swallowing.
Runny Nose,"Excess drainage, ranging from a clear fluid to thick mucus, from the nose and nasal passages."
Stuffy Nose,"Nasal passages swollen with excess fluid and mucus, may be triggered by infection, tobacco smoke, or perfume."
Muscle Aches,Soreness and achiness in the muscles that can range from mild to severe.
Headaches,"A painful sensation in any part of the head, ranging from sharp to dull, that may occur with other symptoms."
Fatigue,"Feeling overtired, with low energy and a strong desire to sleep that interferes with normal daily activities."
Vomitting,Forcefully expelling the stomach's contents out of the mouth.
Diarrhea,"Loose, watery bowel movements that may occur frequently and with a sense of urgency."